버스정류장명,정류장번호,도로명주소,지번주소,위도,경도,기준일
마현동(상),68438,,강원특별자치도 원주시 문막읍 동화리  산 157,37.343384,127.835592,2024-03-31
마현동(하),68439,,강원특별자치도 원주시 문막읍 동화리  1490,37.345025,127.840257,2024-03-31
새잔말,68440,,강원특별자치도 원주시 문막읍 동화리 1501,37.343869,127.842268,2024-03-31
경장동,68441,,강원특별자치도 원주시 지정면 간현리  1117,37.344457,127.844307,2024-03-31
경장동,68442,,강원특별자치도 원주시 지정면 간현리  1226,37.34459,127.844373,2024-03-31
선비마을 경로당,68443,,강원특별자치도 원주시 문막읍 궁촌리 768,37.276097,127.826882,2024-03-31
선비마을 회차지,68444,,강원특별자치도 원주시 문막읍 궁촌리 710,37.276944,127.831073,2024-03-31
범파정사거리,68445,,강원특별자치도 원주시 흥업면 흥업리  1541,37.313062,127.904781,2024-03-31
사제 광터회관,68446,,강원특별자치도 원주시 흥업면 사제리 1430,37.344299,127.879914,2024-03-31
흥업면사무소,68447,강원특별자치도 원주시 흥업면 울업1길 2,강원특별자치도 원주시 흥업면 흥업리 67,37.302604,127.920578,2024-03-31
마현동(하),68448,,강원특별자치도 원주시 문막읍 동화리 907,37.345106,127.84024,2024-03-31
새잔말,68449,,강원특별자치도 원주시 문막읍 동화리  1469,37.343865,127.84246,2024-03-31
선비마을 경로당,68450,,강원특별자치도 원주시 문막읍 궁촌리 1679,37.276059,127.826972,2024-03-31
이지더원,68451,,강원특별자치도 원주시 지정면 가곡리  1489,37.381696,127.870868,2024-03-31
롯데캐슬골드파크2차,68452,,강원특별자치도 원주시 지정면 가곡리  1489,37.381731,127.871295,2024-03-31
문막,68453,,강원특별자치도 원주시 문막읍 건등리 206,37.319649,127.830426,2024-03-31
문막,68454,,강원특별자치도 원주시 문막읍 건등리 산47,37.320571,127.832707,2024-03-31
태봉2교,68455,,강원특별자치도 원주시 태장동 541,37.383516,127.959713,2024-03-31
봉장마을,68456,,강원특별자치도 원주시 가현동 347,37.396332,127.934118,2024-03-31
은성글로벌,68457,,강원특별자치도 원주시 지정면 신평리  1091,37.37424,127.882183,2024-03-31
인성메디컬,68458,,강원특별자치도 원주시 지정면 신평리  1090,37.371497,127.879511,2024-03-31
반도유보라2단지,68459,,강원특별자치도 원주시 지정면 가곡리  1479,37.374749,127.871142,2024-03-31
반도유보라1단지,68460,,강원특별자치도 원주시 지정면 가곡리  1479,37.373466,127.869747,2024-03-31
롯데캐슬 골드파크,68461,,강원특별자치도 원주시 지정면 가곡리  1487,37.377491,127.870407,2024-03-31
이지더원 2차,68462,,강원특별자치도 원주시 지정면 가곡리  1487,37.377426,127.870209,2024-03-31
퍼스트프라자,68463,,강원특별자치도 원주시 지정면 가곡리  1340,37.37467,127.873097,2024-03-31
오크타운,68464,,강원특별자치도 원주시 지정면 가곡리  1340,37.37454,127.87303,2024-03-31
반곡이편한세상,68465,강원특별자치도 원주시 오리현길 55,강원특별자치도 원주시 반곡동 1454,37.338651,127.972099,2024-03-31
반곡이편한세상,68466,,강원특별자치도 원주시 반곡동   2068,37.338598,127.971846,2024-03-31
지샘물,68467,,강원특별자치도 원주시 문막읍 건등리  1159,37.322157,127.811759,2024-03-31
고산리 마을회관,68468,,강원특별자치도 원주시 호저면 고산리  616,37.450974,127.928129,2024-03-31
고리골,68469,,강원특별자치도 원주시 소초면 둔둔리 559,37.452752,127.988479,2024-03-31
섭재마을회관,68470,,강원특별자치도 원주시 관설동 440,37.306994,127.984824,2024-03-31
섭재마을회관,68471,,강원특별자치도 원주시 관설동 446,37.307059,127.984806,2024-03-31
삼보골마을회관,68472,,강원특별자치도 원주시 반곡동   675,37.315273,127.987567,2024-03-31
삼보골마을회관,68473,,강원특별자치도 원주시 반곡동   606,37.315296,127.987496,2024-03-31
삼보골삼거리,68474,,강원특별자치도 원주시 반곡동   680,37.316856,127.986772,2024-03-31
삼보골삼거리,68475,,강원특별자치도 원주시 반곡동   681,37.316813,127.986739,2024-03-31
반곡관설주민센터,68477,,강원특별자치도 원주시 반곡동   1368,37.330002,127.973196,2024-03-31
화실유암사거리,68478,,강원특별자치도 원주시 봉산동 534,37.348274,127.976096,2024-03-31
화실유암사거리,68479,강원특별자치도 원주시 동부순환로 362,강원특별자치도 원주시 봉산동 529,37.348165,127.976072,2024-03-31
너라우들,68480,,강원특별자치도 원주시 소초면 수암리 842,37.398961,127.983421,2024-03-31
너라우들,68481,,강원특별자치도 원주시 소초면 수암리 842,37.398818,127.983466,2024-03-31
뉴스테이아파트,68482,,강원특별자치도 원주시 태장동   1720,37.4066,127.945687,2024-03-31
태장119안전센터,68483,,강원특별자치도 원주시 태장동   1806,37.401498,127.952762,2024-03-31
태장119안전센터,68484,,강원특별자치도 원주시 태장동   1806,37.401372,127.952835,2024-03-31
갓바위,68485,강원특별자치도 원주시 소초면 갓바우길 101-5,강원특별자치도 원주시 소초면 수암리 1646,37.388454,127.967798,2024-03-31
갓바위,68486,강원특별자치도 원주시 소초면 갓바우길 101-8,강원특별자치도 원주시 소초면 수암리 산 138,37.388511,127.967817,2024-03-31
살대울,68487,,강원특별자치도 원주시 봉산동 548,37.350362,127.976707,2024-03-31
살대울,68488,,강원특별자치도 원주시 봉산동 548,37.350346,127.976487,2024-03-31
봉산동주민센터,68489,,강원특별자치도 원주시 봉산동 1103,37.347991,127.956858,2024-03-31
봉산동주민센터,68490,,강원특별자치도 원주시 봉산동 1128,37.347841,127.957059,2024-03-31
